block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,99,0x0001,1,0,1,SUCCESS
1,99,0x0001,1,1,1,SUCCESS
2,99,0x0001,1,2,1,SUCCESS
3,101,0x0001,1,3,1,SUCCESS
4,99,0x0001,1,4,1,SUCCESS
5,95,0x0001,1,5,1,SUCCESS
6,98,0x0001,1,6,1,SUCCESS
7,98,0x0001,1,7,1,SUCCESS
8,102,0x0001,1,8,1,SUCCESS
9,98,0x0001,1,9,1,SUCCESS
10,95,0x0001,1,10,1,SUCCESS
11,95,0x0001,1,11,1,SUCCESS
12,97,0x0001,1,12,1,SUCCESS
13,97,0x0001,1,13,1,SUCCESS
14,100,0x0001,1,14,1,SUCCESS
15,97,0x0001,1,15,1,SUCCESS
16,98,0x0001,1,16,1,SUCCESS
17,93,0x0001,1,17,1,SUCCESS
18,99,0x0001,1,18,1,SUCCESS
19,93,0x0001,1,19,1,SUCCESS
20,95,0x0001,1,20,1,SUCCESS
21,96,0x0001,1,21,1,SUCCESS
22,101,0x0001,1,22,1,SUCCESS
23,102,0x0001,1,23,1,SUCCESS
24,99,0x0001,1,24,1,SUCCESS
25,95,0x0001,1,25,1,SUCCESS
26,97,0x0001,1,26,1,SUCCESS
27,98,0x0001,1,27,1,SUCCESS
28,96,0x0001,1,28,1,SUCCESS
29,102,0x0001,1,29,1,SUCCESS
30,103,0x0001,1,30,1,SUCCESS
31,97,0x0001,1,31,1,SUCCESS
32,99,0x0001,1,32,1,SUCCESS
33,100,0x0001,1,33,1,SUCCESS
34,97,0x0001,1,34,1,SUCCESS
35,98,0x0001,1,35,1,SUCCESS
36,99,0x0001,1,36,1,SUCCESS
37,99,0x0001,1,37,1,SUCCESS
38,92,0x0001,1,38,1,SUCCESS
39,94,0x0001,1,39,1,SUCCESS
40,97,0x0001,1,40,1,SUCCESS
41,100,0x0001,1,41,1,SUCCESS
42,100,0x0001,1,42,1,SUCCESS
43,96,0x0001,1,43,1,SUCCESS
44,96,0x0001,1,44,1,SUCCESS
45,99,0x0001,1,45,1,SUCCESS
46,101,0x0001,1,46,1,SUCCESS
47,100,0x0001,1,47,1,SUCCESS
48,99,0x0001,1,48,1,SUCCESS
49,97,0x0001,1,49,1,SUCCESS
50,99,0x0001,1,50,1,SUCCESS
51,95,0x0001,1,51,1,SUCCESS
52,98,0x0001,1,52,1,SUCCESS
53,96,0x0001,1,53,1,SUCCESS
54,92,0x0001,1,54,1,SUCCESS
55,97,0x0001,1,55,1,SUCCESS
56,95,0x0001,1,56,1,SUCCESS
57,101,0x0001,1,57,1,SUCCESS
58,97,0x0001,1,58,1,SUCCESS
59,101,0x0001,1,59,1,SUCCESS
60,97,0x0001,1,60,1,SUCCESS
