block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,,0x0001,1,0,1,RX_TIMEOUT
1,,0x0001,1,1,1,RX_TIMEOUT
2,,0x0001,1,2,1,RX_TIMEOUT
3,,0x0001,1,3,1,RX_TIMEOUT
4,,0x0001,1,4,1,RX_TIMEOUT
5,,0x0001,1,5,1,RX_TIMEOUT
6,,0x0001,1,6,1,RX_TIMEOUT
7,75,0x0001,1,7,1,SUCCESS
8,84,0x0001,1,8,1,SUCCESS
9,95,0x0001,1,9,1,SUCCESS
10,72,0x0001,1,10,1,SUCCESS
11,90,0x0001,1,11,1,SUCCESS
12,92,0x0001,1,12,1,SUCCESS
13,74,0x0001,1,13,1,SUCCESS
14,73,0x0001,1,14,1,SUCCESS
15,68,0x0001,1,15,1,SUCCESS
16,79,0x0001,1,16,1,SUCCESS
17,84,0x0001,1,17,1,SUCCESS
18,85,0x0001,1,18,1,SUCCESS
19,69,0x0001,1,19,1,SUCCESS
20,66,0x0001,1,20,1,SUCCESS
21,40,0x0001,1,21,1,SUCCESS
22,58,0x0001,1,22,1,SUCCESS
23,47,0x0001,1,23,1,SUCCESS
24,42,0x0001,1,24,1,SUCCESS
25,46,0x0001,1,25,1,SUCCESS
26,38,0x0001,1,26,1,SUCCESS
27,38,0x0001,1,27,1,SUCCESS
28,33,0x0001,1,28,1,SUCCESS
29,19,0x0001,1,29,1,SUCCESS
30,9,0x0001,1,30,1,SUCCESS
31,-5,0x0001,1,31,1,SUCCESS
32,-9,0x0001,1,32,1,SUCCESS
33,-11,0x0001,1,33,1,SUCCESS
34,7,0x0001,1,34,1,SUCCESS
35,25,0x0001,1,35,1,SUCCESS
36,39,0x0001,1,36,1,SUCCESS
37,61,0x0001,1,37,1,SUCCESS
38,80,0x0001,1,38,1,SUCCESS
39,101,0x0001,1,39,1,SUCCESS
40,124,0x0001,1,40,1,SUCCESS
41,144,0x0001,1,41,1,SUCCESS
42,167,0x0001,1,42,1,SUCCESS
43,191,0x0001,1,43,1,SUCCESS
44,221,0x0001,1,44,1,SUCCESS
45,241,0x0001,1,45,1,SUCCESS
46,266,0x0001,1,46,1,SUCCESS
47,292,0x0001,1,47,1,SUCCESS
48,311,0x0001,1,48,1,SUCCESS
49,334,0x0001,1,49,1,SUCCESS
50,366,0x0001,1,50,1,SUCCESS
51,406,0x0001,1,51,1,SUCCESS
52,417,0x0001,1,52,1,SUCCESS
53,430,0x0001,1,53,1,SUCCESS
54,456,0x0001,1,54,1,SUCCESS
55,488,0x0001,1,55,1,SUCCESS
56,497,0x0001,1,56,1,SUCCESS
57,525,0x0001,1,57,1,SUCCESS
58,560,0x0001,1,58,1,SUCCESS
59,563,0x0001,1,59,1,SUCCESS
60,561,0x0001,1,60,1,SUCCESS
61,654,0x0001,1,61,1,SUCCESS
62,620,0x0001,1,62,1,SUCCESS
63,668,0x0001,1,63,1,SUCCESS
64,686,0x0001,1,64,1,SUCCESS
65,673,0x0001,1,65,1,SUCCESS
66,712,0x0001,1,66,1,SUCCESS
67,740,0x0001,1,67,1,SUCCESS
68,755,0x0001,1,68,1,SUCCESS
69,803,0x0001,1,69,1,SUCCESS
70,811,0x0001,1,70,1,SUCCESS
71,839,0x0001,1,71,1,SUCCESS
72,872,0x0001,1,72,1,SUCCESS
73,872,0x0001,1,73,1,SUCCESS
74,905,0x0001,1,74,1,SUCCESS
75,933,0x0001,1,75,1,SUCCESS
76,950,0x0001,1,76,1,SUCCESS
77,974,0x0001,1,77,1,SUCCESS
78,981,0x0001,1,78,1,SUCCESS
79,1026,0x0001,1,79,1,SUCCESS
80,1071,0x0001,1,80,1,SUCCESS
81,1073,0x0001,1,81,1,SUCCESS
82,1097,0x0001,1,82,1,SUCCESS
83,1112,0x0001,1,83,1,SUCCESS
84,1172,0x0001,1,84,1,SUCCESS
85,,0x0001,1,85,1,RX_TIMEOUT
86,1252,0x0001,1,86,1,SUCCESS
87,1230,0x0001,1,87,1,SUCCESS
88,,0x0001,1,88,1,RX_TIMEOUT
89,,0x0001,1,89,1,RX_TIMEOUT
90,,0x0001,1,90,1,RX_TIMEOUT
91,,0x0001,1,91,1,RX_TIMEOUT
92,,0x0001,1,92,1,RX_TIMEOUT
93,,0x0001,1,93,1,RX_TIMEOUT
94,,0x0001,1,94,1,RX_TIMEOUT
95,,0x0001,1,95,1,RX_TIMEOUT
96,,0x0001,1,96,1,RX_TIMEOUT
97,,0x0001,1,97,1,RX_TIMEOUT
98,,0x0001,1,98,1,RX_TIMEOUT
99,,0x0001,1,99,1,RX_TIMEOUT
100,,0x0001,1,100,1,RX_TIMEOUT
101,,0x0001,1,101,1,RX_TIMEOUT
102,,0x0001,1,102,1,RX_TIMEOUT
103,,0x0001,1,103,1,RX_TIMEOUT
104,,0x0001,1,104,1,RX_TIMEOUT
105,,0x0001,1,105,1,RX_TIMEOUT
106,,0x0001,1,106,1,RX_TIMEOUT
107,,0x0001,1,107,1,RX_TIMEOUT
108,,0x0001,1,108,1,RX_TIMEOUT
109,,0x0001,1,109,1,RX_TIMEOUT
110,,0x0001,1,110,1,RX_TIMEOUT
111,,0x0001,1,111,1,RX_TIMEOUT
112,,0x0001,1,112,1,RX_TIMEOUT
113,,0x0001,1,113,1,RX_TIMEOUT
114,1166,0x0001,1,114,1,SUCCESS
115,1171,0x0001,1,115,1,SUCCESS
116,1169,0x0001,1,116,1,SUCCESS
117,1164,0x0001,1,117,1,SUCCESS
