block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
192,,0x0001,1,192,1,RX_TIMEOUT
193,,0x0001,1,193,1,RX_TIMEOUT
194,,0x0001,1,194,1,RX_TIMEOUT
195,,0x0001,1,195,1,RX_TIMEOUT
196,,0x0001,1,196,1,RX_TIMEOUT
197,,0x0001,1,197,1,RX_TIMEOUT
198,,0x0001,1,198,1,RX_TIMEOUT
199,,0x0001,1,199,1,RX_TIMEOUT
200,,0x0001,1,200,1,RX_TIMEOUT
201,,0x0001,1,201,1,RX_TIMEOUT
202,,0x0001,1,202,1,RX_TIMEOUT
203,,0x0001,1,203,1,RX_TIMEOUT
204,,0x0001,1,204,1,RX_TIMEOUT
205,,0x0001,1,205,1,RX_TIMEOUT
206,,0x0001,1,206,1,RX_TIMEOUT
207,,0x0001,1,207,1,RX_TIMEOUT
208,,0x0001,1,208,1,RX_TIMEOUT
209,,0x0001,1,209,1,RX_TIMEOUT
210,,0x0001,1,210,1,RX_TIMEOUT
211,,0x0001,1,211,1,RX_TIMEOUT
212,,0x0001,1,212,1,RX_TIMEOUT
213,,0x0001,1,213,1,RX_TIMEOUT
214,,0x0001,1,214,1,RX_TIMEOUT
215,,0x0001,1,215,1,RX_TIMEOUT
216,,0x0001,1,216,1,RX_TIMEOUT
217,,0x0001,1,217,1,RX_TIMEOUT
218,,0x0001,1,218,1,RX_TIMEOUT
219,,0x0001,1,219,1,RX_TIMEOUT
220,,0x0001,1,220,1,RX_TIMEOUT
221,,0x0001,1,221,1,RX_TIMEOUT
222,,0x0001,1,222,1,RX_TIMEOUT
223,,0x0001,1,223,1,RX_TIMEOUT
224,,0x0001,1,224,1,RX_TIMEOUT
225,,0x0001,1,225,1,RX_TIMEOUT
226,,0x0001,1,226,1,RX_TIMEOUT
227,,0x0001,1,227,1,RX_TIMEOUT
228,,0x0001,1,228,1,RX_TIMEOUT
229,,0x0001,1,229,1,RX_TIMEOUT
230,,0x0001,1,230,1,RX_TIMEOUT
231,,0x0001,1,231,1,RX_TIMEOUT
232,,0x0001,1,232,1,RX_TIMEOUT
233,,0x0001,1,233,1,RX_TIMEOUT
234,,0x0001,1,234,1,RX_TIMEOUT
235,,0x0001,1,235,1,RX_TIMEOUT
236,,0x0001,1,236,1,RX_TIMEOUT
237,,0x0001,1,237,1,RX_TIMEOUT
238,,0x0001,1,238,1,RX_TIMEOUT
239,,0x0001,1,239,1,RX_TIMEOUT
240,,0x0001,1,240,1,RX_TIMEOUT
241,,0x0001,1,241,1,RX_TIMEOUT
242,,0x0001,1,242,1,RX_TIMEOUT
243,,0x0001,1,243,1,RX_TIMEOUT
244,,0x0001,1,244,1,RX_TIMEOUT
245,,0x0001,1,245,1,RX_TIMEOUT
246,,0x0001,1,246,1,RX_TIMEOUT
247,,0x0001,1,247,1,RX_TIMEOUT
248,,0x0001,1,248,1,RX_TIMEOUT
249,,0x0001,1,249,1,RX_TIMEOUT
250,,0x0001,1,250,1,RX_TIMEOUT
251,,0x0001,1,251,1,RX_TIMEOUT
252,,0x0001,1,252,1,RX_TIMEOUT
253,,0x0001,1,253,1,RX_TIMEOUT
254,,0x0001,1,254,1,RX_TIMEOUT
255,,0x0001,1,255,1,RX_TIMEOUT
256,,0x0001,1,256,1,RX_TIMEOUT
257,,0x0001,1,257,1,RX_TIMEOUT
258,,0x0001,1,258,1,RX_TIMEOUT
259,,0x0001,1,259,1,RX_TIMEOUT
260,,0x0001,1,260,1,RX_TIMEOUT
261,,0x0001,1,261,1,RX_TIMEOUT
262,,0x0001,1,262,1,RX_TIMEOUT
