block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,,0x0001,1,0,1,RX_TIMEOUT
1,,0x0001,1,1,1,RX_TIMEOUT
2,,0x0001,1,2,1,RX_TIMEOUT
3,,0x0001,1,3,1,RX_TIMEOUT
4,,0x0001,1,4,1,RX_TIMEOUT
5,,0x0001,1,5,1,RX_TIMEOUT
6,,0x0001,1,6,1,RX_TIMEOUT
7,,0x0001,1,7,1,RX_TIMEOUT
8,,0x0001,1,8,1,RX_TIMEOUT
9,,0x0001,1,9,1,RX_TIMEOUT
10,,0x0001,1,10,1,RX_TIMEOUT
11,,0x0001,1,11,1,RX_TIMEOUT
12,,0x0001,1,12,1,RX_TIMEOUT
13,,0x0001,1,13,1,RX_TIMEOUT
14,,0x0001,1,14,1,RX_TIMEOUT
15,,0x0001,1,15,1,RX_TIMEOUT
16,,0x0001,1,16,1,RX_TIMEOUT
17,,0x0001,1,17,1,RX_TIMEOUT
18,,0x0001,1,18,1,RX_TIMEOUT
19,,0x0001,1,19,1,RX_TIMEOUT
20,,0x0001,1,20,1,RX_TIMEOUT
21,,0x0001,1,21,1,RX_TIMEOUT
22,,0x0001,1,22,1,RX_TIMEOUT
23,,0x0001,1,23,1,RX_TIMEOUT
24,,0x0001,1,24,1,RX_TIMEOUT
25,,0x0001,1,25,1,RX_TIMEOUT
26,,0x0001,1,26,1,RX_TIMEOUT
27,,0x0001,1,27,1,RX_TIMEOUT
28,,0x0001,1,28,1,RX_TIMEOUT
29,,0x0001,1,29,1,RX_TIMEOUT
30,,0x0001,1,30,1,RX_TIMEOUT
31,,0x0001,1,31,1,RX_TIMEOUT
32,,0x0001,1,32,1,RX_TIMEOUT
33,,0x0001,1,33,1,RX_TIMEOUT
34,,0x0001,1,34,1,RX_TIMEOUT
35,,0x0001,1,35,1,RX_TIMEOUT
36,,0x0001,1,36,1,RX_TIMEOUT
37,,0x0001,1,37,1,RX_TIMEOUT
38,,0x0001,1,38,1,RX_TIMEOUT
39,,0x0001,1,39,1,RX_TIMEOUT
40,,0x0001,1,40,1,RX_TIMEOUT
41,,0x0001,1,41,1,RX_TIMEOUT
42,,0x0001,1,42,1,RX_TIMEOUT
43,,0x0001,1,43,1,RX_TIMEOUT
44,,0x0001,1,44,1,RX_TIMEOUT
45,,0x0001,1,45,1,RX_TIMEOUT
46,,0x0001,1,46,1,RX_TIMEOUT
47,,0x0001,1,47,1,RX_TIMEOUT
48,,0x0001,1,48,1,RX_TIMEOUT
49,,0x0001,1,49,1,RX_TIMEOUT
50,,0x0001,1,50,1,RX_TIMEOUT
51,,0x0001,1,51,1,RX_TIMEOUT
52,,0x0001,1,52,1,RX_TIMEOUT
53,,0x0001,1,53,1,RX_TIMEOUT
54,,0x0001,1,54,1,RX_TIMEOUT
55,,0x0001,1,55,1,RX_TIMEOUT
56,,0x0001,1,56,1,RX_TIMEOUT
57,,0x0001,1,57,1,RX_TIMEOUT
58,,0x0001,1,58,1,RX_TIMEOUT
59,,0x0001,1,59,1,RX_TIMEOUT
60,,0x0001,1,60,1,RX_TIMEOUT
61,,0x0001,1,61,1,RX_TIMEOUT
62,,0x0001,1,62,1,RX_TIMEOUT
63,,0x0001,1,63,1,RX_TIMEOUT
64,,0x0001,1,64,1,RX_TIMEOUT
65,,0x0001,1,65,1,RX_TIMEOUT
66,,0x0001,1,66,1,RX_TIMEOUT
67,,0x0001,1,67,1,RX_TIMEOUT
68,,0x0001,1,68,1,RX_TIMEOUT
69,,0x0001,1,69,1,RX_TIMEOUT
70,,0x0001,1,70,1,RX_TIMEOUT
71,,0x0001,1,71,1,RX_TIMEOUT
72,,0x0001,1,72,1,RX_TIMEOUT
73,,0x0001,1,73,1,RX_TIMEOUT
74,,0x0001,1,74,1,RX_TIMEOUT
75,,0x0001,1,75,1,RX_TIMEOUT
76,,0x0001,1,76,1,RX_TIMEOUT
77,,0x0001,1,77,1,RX_TIMEOUT
78,,0x0001,1,78,1,RX_TIMEOUT
79,,0x0001,1,79,1,RX_TIMEOUT
80,,0x0001,1,80,1,RX_TIMEOUT
81,,0x0001,1,81,1,RX_TIMEOUT
82,,0x0001,1,82,1,RX_TIMEOUT
83,,0x0001,1,83,1,RX_TIMEOUT
84,284,0x0001,1,84,1,SUCCESS
85,286,0x0001,1,85,1,SUCCESS
86,267,0x0001,1,86,1,SUCCESS
87,262,0x0001,1,87,1,SUCCESS
88,284,0x0001,1,88,1,SUCCESS
89,272,0x0001,1,89,1,SUCCESS
90,273,0x0001,1,90,1,SUCCESS
91,266,0x0001,1,91,1,SUCCESS
92,280,0x0001,1,92,1,SUCCESS
93,292,0x0001,1,93,1,SUCCESS
94,293,0x0001,1,94,1,SUCCESS
95,265,0x0001,1,95,1,SUCCESS
96,340,0x0001,1,96,1,SUCCESS
97,358,0x0001,1,97,1,SUCCESS
98,283,0x0001,1,98,1,SUCCESS
99,283,0x0001,1,99,1,SUCCESS
100,271,0x0001,1,100,1,SUCCESS
101,249,0x0001,1,101,1,SUCCESS
102,238,0x0001,1,102,1,SUCCESS
103,240,0x0001,1,103,1,SUCCESS
104,223,0x0001,1,104,1,SUCCESS
105,219,0x0001,1,105,1,SUCCESS
106,191,0x0001,1,106,1,SUCCESS
107,220,0x0001,1,107,1,SUCCESS
108,239,0x0001,1,108,1,SUCCESS
109,196,0x0001,1,109,1,SUCCESS
110,289,0x0001,1,110,1,SUCCESS
111,191,0x0001,1,111,1,SUCCESS
