Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,566,264,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,551,263,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,542,263,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,555,265,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,569,262,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,582,266,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,566,260,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,573,265,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,573,265,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,542,261,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,570,265,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,579,263,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,560,260,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,569,264,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,572,264,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,567,263,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,569,261,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,569,265,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,576,265,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,564,263,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,561,261,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,570,264,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,567,265,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,582,261,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,572,265,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,572,262,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,576,264,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,561,265,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,570,262,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,572,265,0.0,0,0.0,0.0,,Ok
