block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,324,0x0001,1,0,1,SUCCESS
1,321,0x0001,1,1,1,SUCCESS
2,313,0x0001,1,2,1,SUCCESS
3,269,0x0001,1,3,1,SUCCESS
4,295,0x0001,1,4,1,SUCCESS
5,289,0x0001,1,5,1,SUCCESS
6,283,0x0001,1,6,1,SUCCESS
7,288,0x0001,1,7,1,SUCCESS
8,297,0x0001,1,8,1,SUCCESS
9,266,0x0001,1,9,1,SUCCESS
10,303,0x0001,1,10,1,SUCCESS
11,312,0x0001,1,11,1,SUCCESS
12,399,0x0001,1,12,1,SUCCESS
13,304,0x0001,1,13,1,SUCCESS
14,321,0x0001,1,14,1,SUCCESS
15,302,0x0001,1,15,1,SUCCESS
16,287,0x0001,1,16,1,SUCCESS
17,321,0x0001,1,17,1,SUCCESS
18,274,0x0001,1,18,1,SUCCESS
19,304,0x0001,1,19,1,SUCCESS
20,322,0x0001,1,20,1,SUCCESS
21,304,0x0001,1,21,1,SUCCESS
22,309,0x0001,1,22,1,SUCCESS
23,306,0x0001,1,23,1,SUCCESS
24,294,0x0001,1,24,1,SUCCESS
25,342,0x0001,1,25,1,SUCCESS
26,313,0x0001,1,26,1,SUCCESS
27,306,0x0001,1,27,1,SUCCESS
28,309,0x0001,1,28,1,SUCCESS
29,293,0x0001,1,29,1,SUCCESS
30,399,0x0001,1,30,1,SUCCESS
31,302,0x0001,1,31,1,SUCCESS
32,338,0x0001,1,32,1,SUCCESS
33,317,0x0001,1,33,1,SUCCESS
34,328,0x0001,1,34,1,SUCCESS
35,479,0x0001,1,35,1,SUCCESS
36,350,0x0001,1,36,1,SUCCESS
37,374,0x0001,1,37,1,SUCCESS
38,496,0x0001,1,38,1,SUCCESS
39,393,0x0001,1,39,1,SUCCESS
40,349,0x0001,1,40,1,SUCCESS
41,312,0x0001,1,41,1,SUCCESS
42,327,0x0001,1,42,1,SUCCESS
43,307,0x0001,1,43,1,SUCCESS
44,314,0x0001,1,44,1,SUCCESS
45,311,0x0001,1,45,1,SUCCESS
46,306,0x0001,1,46,1,SUCCESS
47,299,0x0001,1,47,1,SUCCESS
48,304,0x0001,1,48,1,SUCCESS
49,410,0x0001,1,49,1,SUCCESS
50,304,0x0001,1,50,1,SUCCESS
51,304,0x0001,1,51,1,SUCCESS
52,306,0x0001,1,52,1,SUCCESS
53,303,0x0001,1,53,1,SUCCESS
54,283,0x0001,1,54,1,SUCCESS
55,302,0x0001,1,55,1,SUCCESS
56,287,0x0001,1,56,1,SUCCESS
57,281,0x0001,1,57,1,SUCCESS
58,273,0x0001,1,58,1,SUCCESS
59,279,0x0001,1,59,1,SUCCESS
60,287,0x0001,1,60,1,SUCCESS
61,281,0x0001,1,61,1,SUCCESS
62,276,0x0001,1,62,1,SUCCESS
63,287,0x0001,1,63,1,SUCCESS
64,293,0x0001,1,64,1,SUCCESS
