block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,282,0x0001,1,0,1,SUCCESS
1,284,0x0001,1,1,1,SUCCESS
2,280,0x0001,1,2,1,SUCCESS
3,277,0x0001,1,3,1,SUCCESS
4,291,0x0001,1,4,1,SUCCESS
5,280,0x0001,1,5,1,SUCCESS
6,338,0x0001,1,6,1,SUCCESS
7,356,0x0001,1,7,1,SUCCESS
8,403,0x0001,1,8,1,SUCCESS
9,319,0x0001,1,9,1,SUCCESS
10,271,0x0001,1,10,1,SUCCESS
11,288,0x0001,1,11,1,SUCCESS
12,292,0x0001,1,12,1,SUCCESS
13,281,0x0001,1,13,1,SUCCESS
14,288,0x0001,1,14,1,SUCCESS
15,290,0x0001,1,15,1,SUCCESS
16,292,0x0001,1,16,1,SUCCESS
17,275,0x0001,1,17,1,SUCCESS
18,287,0x0001,1,18,1,SUCCESS
19,269,0x0001,1,19,1,SUCCESS
20,269,0x0001,1,20,1,SUCCESS
21,269,0x0001,1,21,1,SUCCESS
22,287,0x0001,1,22,1,SUCCESS
23,283,0x0001,1,23,1,SUCCESS
24,264,0x0001,1,24,1,SUCCESS
25,271,0x0001,1,25,1,SUCCESS
26,273,0x0001,1,26,1,SUCCESS
27,271,0x0001,1,27,1,SUCCESS
28,274,0x0001,1,28,1,SUCCESS
29,278,0x0001,1,29,1,SUCCESS
30,296,0x0001,1,30,1,SUCCESS
31,273,0x0001,1,31,1,SUCCESS
32,288,0x0001,1,32,1,SUCCESS
33,280,0x0001,1,33,1,SUCCESS
34,360,0x0001,1,34,1,SUCCESS
35,387,0x0001,1,35,1,SUCCESS
36,284,0x0001,1,36,1,SUCCESS
37,352,0x0001,1,37,1,SUCCESS
38,278,0x0001,1,38,1,SUCCESS
39,281,0x0001,1,39,1,SUCCESS
40,279,0x0001,1,40,1,SUCCESS
41,281,0x0001,1,41,1,SUCCESS
42,273,0x0001,1,42,1,SUCCESS
43,284,0x0001,1,43,1,SUCCESS
44,268,0x0001,1,44,1,SUCCESS
45,271,0x0001,1,45,1,SUCCESS
46,263,0x0001,1,46,1,SUCCESS
47,274,0x0001,1,47,1,SUCCESS
48,274,0x0001,1,48,1,SUCCESS
49,271,0x0001,1,49,1,SUCCESS
50,279,0x0001,1,50,1,SUCCESS
51,274,0x0001,1,51,1,SUCCESS
52,271,0x0001,1,52,1,SUCCESS
53,277,0x0001,1,53,1,SUCCESS
54,275,0x0001,1,54,1,SUCCESS
55,281,0x0001,1,55,1,SUCCESS
56,282,0x0001,1,56,1,SUCCESS
57,288,0x0001,1,57,1,SUCCESS
58,277,0x0001,1,58,1,SUCCESS
59,279,0x0001,1,59,1,SUCCESS
60,281,0x0001,1,60,1,SUCCESS
61,281,0x0001,1,61,1,SUCCESS
62,285,0x0001,1,62,1,SUCCESS
63,280,0x0001,1,63,1,SUCCESS
64,273,0x0001,1,64,1,SUCCESS
65,281,0x0001,1,65,1,SUCCESS
66,284,0x0001,1,66,1,SUCCESS
67,285,0x0001,1,67,1,SUCCESS
68,280,0x0001,1,68,1,SUCCESS
69,290,0x0001,1,69,1,SUCCESS
70,285,0x0001,1,70,1,SUCCESS
71,299,0x0001,1,71,1,SUCCESS
72,284,0x0001,1,72,1,SUCCESS
73,289,0x0001,1,73,1,SUCCESS
74,283,0x0001,1,74,1,SUCCESS
75,284,0x0001,1,75,1,SUCCESS
76,286,0x0001,1,76,1,SUCCESS
77,287,0x0001,1,77,1,SUCCESS
78,290,0x0001,1,78,1,SUCCESS
79,279,0x0001,1,79,1,SUCCESS
80,281,0x0001,1,80,1,SUCCESS
81,281,0x0001,1,81,1,SUCCESS
82,286,0x0001,1,82,1,SUCCESS
83,289,0x0001,1,83,1,SUCCESS
84,291,0x0001,1,84,1,SUCCESS
85,292,0x0001,1,85,1,SUCCESS
86,285,0x0001,1,86,1,SUCCESS
87,263,0x0001,1,87,1,SUCCESS
88,273,0x0001,1,88,1,SUCCESS
89,277,0x0001,1,89,1,SUCCESS
90,302,0x0001,1,90,1,SUCCESS
91,271,0x0001,1,91,1,SUCCESS
92,276,0x0001,1,92,1,SUCCESS
93,283,0x0001,1,93,1,SUCCESS
94,276,0x0001,1,94,1,SUCCESS
95,281,0x0001,1,95,1,SUCCESS
96,283,0x0001,1,96,1,SUCCESS
97,293,0x0001,1,97,1,SUCCESS
98,296,0x0001,1,98,1,SUCCESS
99,281,0x0001,1,99,1,SUCCESS
100,286,0x0001,1,100,1,SUCCESS
101,364,0x0001,1,101,1,SUCCESS
102,372,0x0001,1,102,1,SUCCESS
103,309,0x0001,1,103,1,SUCCESS
104,280,0x0001,1,104,1,SUCCESS
105,287,0x0001,1,105,1,SUCCESS
106,286,0x0001,1,106,1,SUCCESS
107,288,0x0001,1,107,1,SUCCESS
108,276,0x0001,1,108,1,SUCCESS
109,272,0x0001,1,109,1,SUCCESS
110,270,0x0001,1,110,1,SUCCESS
111,278,0x0001,1,111,1,SUCCESS
112,275,0x0001,1,112,1,SUCCESS
113,279,0x0001,1,113,1,SUCCESS
114,273,0x0001,1,114,1,SUCCESS
115,277,0x0001,1,115,1,SUCCESS
116,273,0x0001,1,116,1,SUCCESS
117,292,0x0001,1,117,1,SUCCESS
118,281,0x0001,1,118,1,SUCCESS
119,273,0x0001,1,119,1,SUCCESS
120,272,0x0001,1,120,1,SUCCESS
121,279,0x0001,1,121,1,SUCCESS
122,274,0x0001,1,122,1,SUCCESS
123,273,0x0001,1,123,1,SUCCESS
124,273,0x0001,1,124,1,SUCCESS
125,279,0x0001,1,125,1,SUCCESS
126,278,0x0001,1,126,1,SUCCESS
127,277,0x0001,1,127,1,SUCCESS
128,275,0x0001,1,128,1,SUCCESS
129,279,0x0001,1,129,1,SUCCESS
130,273,0x0001,1,130,1,SUCCESS
131,263,0x0001,1,131,1,SUCCESS
132,270,0x0001,1,132,1,SUCCESS
133,275,0x0001,1,133,1,SUCCESS
134,281,0x0001,1,134,1,SUCCESS
135,273,0x0001,1,135,1,SUCCESS
136,266,0x0001,1,136,1,SUCCESS
137,269,0x0001,1,137,1,SUCCESS
138,338,0x0001,1,138,1,SUCCESS
139,320,0x0001,1,139,1,SUCCESS
140,276,0x0001,1,140,1,SUCCESS
141,277,0x0001,1,141,1,SUCCESS
142,289,0x0001,1,142,1,SUCCESS
143,301,0x0001,1,143,1,SUCCESS
144,277,0x0001,1,144,1,SUCCESS
145,328,0x0001,1,145,1,SUCCESS
146,279,0x0001,1,146,1,SUCCESS
147,277,0x0001,1,147,1,SUCCESS
148,272,0x0001,1,148,1,SUCCESS
149,284,0x0001,1,149,1,SUCCESS
150,531,0x0001,1,150,1,SUCCESS
151,274,0x0001,1,151,1,SUCCESS
152,496,0x0001,1,152,1,SUCCESS
153,282,0x0001,1,153,1,SUCCESS
154,279,0x0001,1,154,1,SUCCESS
155,289,0x0001,1,155,1,SUCCESS
156,282,0x0001,1,156,1,SUCCESS
157,281,0x0001,1,157,1,SUCCESS
158,277,0x0001,1,158,1,SUCCESS
159,276,0x0001,1,159,1,SUCCESS
160,279,0x0001,1,160,1,SUCCESS
161,271,0x0001,1,161,1,SUCCESS
162,285,0x0001,1,162,1,SUCCESS
163,289,0x0001,1,163,1,SUCCESS
164,307,0x0001,1,164,1,SUCCESS
165,372,0x0001,1,165,1,SUCCESS
166,377,0x0001,1,166,1,SUCCESS
167,378,0x0001,1,167,1,SUCCESS
168,372,0x0001,1,168,1,SUCCESS
169,358,0x0001,1,169,1,SUCCESS
170,332,0x0001,1,170,1,SUCCESS
171,281,0x0001,1,171,1,SUCCESS
172,297,0x0001,1,172,1,SUCCESS
173,286,0x0001,1,173,1,SUCCESS
174,281,0x0001,1,174,1,SUCCESS
175,270,0x0001,1,175,1,SUCCESS
176,380,0x0001,1,176,1,SUCCESS
177,343,0x0001,1,177,1,SUCCESS
178,345,0x0001,1,178,1,SUCCESS
179,322,0x0001,1,179,1,SUCCESS
180,301,0x0001,1,180,1,SUCCESS
181,314,0x0001,1,181,1,SUCCESS
182,315,0x0001,1,182,1,SUCCESS
183,333,0x0001,1,183,1,SUCCESS
184,357,0x0001,1,184,1,SUCCESS
185,315,0x0001,1,185,1,SUCCESS
186,328,0x0001,1,186,1,SUCCESS
187,277,0x0001,1,187,1,SUCCESS
188,281,0x0001,1,188,1,SUCCESS
189,288,0x0001,1,189,1,SUCCESS
190,294,0x0001,1,190,1,SUCCESS
191,285,0x0001,1,191,1,SUCCESS
192,331,0x0001,1,192,1,SUCCESS
193,364,0x0001,1,193,1,SUCCESS
194,288,0x0001,1,194,1,SUCCESS
195,272,0x0001,1,195,1,SUCCESS
196,277,0x0001,1,196,1,SUCCESS
197,320,0x0001,1,197,1,SUCCESS
198,336,0x0001,1,198,1,SUCCESS
199,371,0x0001,1,199,1,SUCCESS
200,260,0x0001,1,200,1,SUCCESS
201,269,0x0001,1,201,1,SUCCESS
202,272,0x0001,1,202,1,SUCCESS
203,275,0x0001,1,203,1,SUCCESS
204,284,0x0001,1,204,1,SUCCESS
205,,0x0001,1,205,1,RX_TIMEOUT
206,465,0x0001,1,206,1,SUCCESS
207,345,0x0001,1,207,1,SUCCESS
208,,0x0001,1,208,1,RX_TIMEOUT
209,,0x0001,1,209,1,RX_TIMEOUT
210,,0x0001,1,210,1,RX_TIMEOUT
211,,0x0001,1,211,1,RX_TIMEOUT
212,,0x0001,1,212,1,RX_TIMEOUT
213,,0x0001,1,213,1,RX_TIMEOUT
