Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,725,303,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,657,302,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,630,304,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,673,307,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,657,301,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,630,304,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,678,307,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,634,302,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,694,305,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,648,298,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,646,304,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,700,308,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,660,304,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,666,301,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,655,307,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,661,305,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,642,305,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,672,306,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,648,311,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,658,314,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,675,304,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,673,310,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,660,308,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,655,305,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,669,309,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,661,302,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,660,306,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,669,302,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,646,303,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,661,301,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,688,305,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,673,302,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,660,308,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,648,303,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,648,304,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,663,308,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,680,303,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,630,304,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,670,304,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,666,303,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,669,305,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,663,305,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,664,303,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,660,304,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,648,310,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,692,304,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,676,301,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
