Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,676,608,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,689,602,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,673,607,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,680,609,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,678,605,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,700,605,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,695,610,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,704,607,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,701,605,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,597,603,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,590,755,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,,,,,,,,Err
0x0001,12,,,,,,,,Err
0x0002,12,,,,,,,,Err
0x0001,13,,,,,,,,Err
0x0002,13,560,620,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,576,604,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,560,607,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,588,618,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,552,607,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,599,617,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,555,625,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,569,595,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,579,605,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,582,602,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,557,611,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,569,612,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,593,609,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,566,621,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,573,615,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,551,594,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,585,582,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,563,605,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,585,603,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,588,603,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,576,593,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,588,609,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,578,601,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,599,596,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,572,599,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,560,604,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,588,607,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,579,643,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,591,590,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,555,600,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,597,602,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,560,607,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,593,621,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,569,615,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
0x0002,47,590,642,0.0,0,0.0,0.0,,Ok
0x0001,48,,,,,,,,Err
0x0002,48,591,600,0.0,0,0.0,0.0,,Ok
0x0001,49,,,,,,,,Err
0x0002,49,569,597,0.0,0,0.0,0.0,,Ok
0x0001,50,,,,,,,,Err
0x0002,50,582,587,0.0,0,0.0,0.0,,Ok
0x0001,51,,,,,,,,Err
0x0002,51,579,610,0.0,0,0.0,0.0,,Ok
0x0001,52,,,,,,,,Err
0x0002,52,572,616,0.0,0,0.0,0.0,,Ok
0x0001,53,,,,,,,,Err
0x0002,53,584,600,0.0,0,0.0,0.0,,Ok
0x0001,54,,,,,,,,Err
0x0002,54,569,686,0.0,0,0.0,0.0,,Ok
0x0001,55,,,,,,,,Err
0x0002,55,549,609,0.0,0,0.0,0.0,,Ok
0x0001,56,,,,,,,,Err
0x0002,56,610,603,0.0,0,0.0,0.0,,Ok
0x0001,57,,,,,,,,Err
0x0002,57,590,606,0.0,0,0.0,0.0,,Ok
0x0001,58,,,,,,,,Err
0x0002,58,584,673,0.0,0,0.0,0.0,,Ok
0x0001,59,,,,,,,,Err
0x0002,59,587,622,0.0,0,0.0,0.0,,Ok
0x0001,60,,,,,,,,Err
0x0002,60,610,619,0.0,0,0.0,0.0,,Ok
0x0001,61,,,,,,,,Err
0x0002,61,590,595,0.0,0,0.0,0.0,,Ok
0x0001,62,,,,,,,,Err
0x0002,62,569,615,0.0,0,0.0,0.0,,Ok
0x0001,63,,,,,,,,Err
0x0002,63,579,599,0.0,0,0.0,0.0,,Ok
0x0001,64,,,,,,,,Err
0x0002,64,596,642,0.0,0,0.0,0.0,,Ok
0x0001,65,,,,,,,,Err
0x0002,65,579,596,0.0,0,0.0,0.0,,Ok
0x0001,66,,,,,,,,Err
0x0002,66,604,586,0.0,0,0.0,0.0,,Ok
0x0001,67,,,,,,,,Err
0x0002,67,575,604,0.0,0,0.0,0.0,,Ok
0x0001,68,,,,,,,,Err
0x0002,68,596,607,0.0,0,0.0,0.0,,Ok
0x0001,69,,,,,,,,Err
0x0002,69,588,661,0.0,0,0.0,0.0,,Ok
0x0001,70,,,,,,,,Err
0x0002,70,581,598,0.0,0,0.0,0.0,,Ok
0x0001,71,,,,,,,,Err
0x0002,71,590,584,0.0,0,0.0,0.0,,Ok
0x0001,72,,,,,,,,Err
0x0002,72,566,598,0.0,0,0.0,0.0,,Ok
0x0001,73,,,,,,,,Err
0x0002,73,587,597,0.0,0,0.0,0.0,,Ok
0x0001,74,,,,,,,,Err
0x0002,74,591,602,0.0,0,0.0,0.0,,Ok
0x0001,75,,,,,,,,Err
0x0002,75,599,600,0.0,0,0.0,0.0,,Ok
0x0001,76,,,,,,,,Err
0x0002,76,588,626,0.0,0,0.0,0.0,,Ok
0x0001,77,,,,,,,,Err
0x0002,77,599,661,0.0,0,0.0,0.0,,Ok
0x0001,78,,,,,,,,Err
0x0002,78,610,675,0.0,0,0.0,0.0,,Ok
0x0001,79,,,,,,,,Err
0x0002,79,573,649,0.0,0,0.0,0.0,,Ok
0x0001,80,,,,,,,,Err
0x0002,80,570,668,0.0,0,0.0,0.0,,Ok
0x0001,81,,,,,,,,Err
0x0002,81,591,637,0.0,0,0.0,0.0,,Ok
0x0001,82,,,,,,,,Err
0x0002,82,582,622,0.0,0,0.0,0.0,,Ok
0x0001,83,,,,,,,,Err
0x0002,83,596,598,0.0,0,0.0,0.0,,Ok
0x0001,84,,,,,,,,Err
0x0002,84,604,634,0.0,0,0.0,0.0,,Ok
0x0001,85,,,,,,,,Err
0x0002,85,579,602,0.0,0,0.0,0.0,,Ok
0x0001,86,,,,,,,,Err
0x0002,86,584,617,0.0,0,0.0,0.0,,Ok
0x0001,87,,,,,,,,Err
0x0002,87,609,637,0.0,0,0.0,0.0,,Ok
0x0001,88,,,,,,,,Err
0x0002,88,602,623,0.0,0,0.0,0.0,,Ok
0x0001,89,,,,,,,,Err
