block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,103,0x0001,1,0,1,SUCCESS
1,102,0x0001,1,1,1,SUCCESS
2,98,0x0001,1,2,1,SUCCESS
3,93,0x0001,1,3,1,SUCCESS
4,93,0x0001,1,4,1,SUCCESS
5,88,0x0001,1,5,1,SUCCESS
6,76,0x0001,1,6,1,SUCCESS
7,107,0x0001,1,7,1,SUCCESS
8,95,0x0001,1,8,1,SUCCESS
9,108,0x0001,1,9,1,SUCCESS
10,124,0x0001,1,10,1,SUCCESS
11,147,0x0001,1,11,1,SUCCESS
12,191,0x0001,1,12,1,SUCCESS
13,176,0x0001,1,13,1,SUCCESS
14,178,0x0001,1,14,1,SUCCESS
15,264,0x0001,1,15,1,SUCCESS
16,256,0x0001,1,16,1,SUCCESS
17,265,0x0001,1,17,1,SUCCESS
18,272,0x0001,1,18,1,SUCCESS
19,272,0x0001,1,19,1,SUCCESS
20,283,0x0001,1,20,1,SUCCESS
21,291,0x0001,1,21,1,SUCCESS
22,306,0x0001,1,22,1,SUCCESS
23,318,0x0001,1,23,1,SUCCESS
24,343,0x0001,1,24,1,SUCCESS
25,360,0x0001,1,25,1,SUCCESS
26,388,0x0001,1,26,1,SUCCESS
27,,0x0001,1,27,1,RX_TIMEOUT
28,424,0x0001,1,28,1,SUCCESS
29,452,0x0001,1,29,1,SUCCESS
30,463,0x0001,1,30,1,SUCCESS
31,481,0x0001,1,31,1,SUCCESS
32,501,0x0001,1,32,1,SUCCESS
33,527,0x0001,1,33,1,SUCCESS
34,541,0x0001,1,34,1,SUCCESS
35,554,0x0001,1,35,1,SUCCESS
36,558,0x0001,1,36,1,SUCCESS
37,590,0x0001,1,37,1,SUCCESS
38,618,0x0001,1,38,1,SUCCESS
39,639,0x0001,1,39,1,SUCCESS
40,663,0x0001,1,40,1,SUCCESS
41,666,0x0001,1,41,1,SUCCESS
42,697,0x0001,1,42,1,SUCCESS
43,724,0x0001,1,43,1,SUCCESS
44,743,0x0001,1,44,1,SUCCESS
45,759,0x0001,1,45,1,SUCCESS
46,774,0x0001,1,46,1,SUCCESS
47,794,0x0001,1,47,1,SUCCESS
48,813,0x0001,1,48,1,SUCCESS
49,811,0x0001,1,49,1,SUCCESS
50,872,0x0001,1,50,1,SUCCESS
51,878,0x0001,1,51,1,SUCCESS
52,904,0x0001,1,52,1,SUCCESS
53,913,0x0001,1,53,1,SUCCESS
54,936,0x0001,1,54,1,SUCCESS
55,955,0x0001,1,55,1,SUCCESS
56,983,0x0001,1,56,1,SUCCESS
57,987,0x0001,1,57,1,SUCCESS
58,1000,0x0001,1,58,1,SUCCESS
59,1034,0x0001,1,59,1,SUCCESS
60,1067,0x0001,1,60,1,SUCCESS
61,1091,0x0001,1,61,1,SUCCESS
62,1073,0x0001,1,62,1,SUCCESS
63,1154,0x0001,1,63,1,SUCCESS
64,1146,0x0001,1,64,1,SUCCESS
65,1158,0x0001,1,65,1,SUCCESS
66,1180,0x0001,1,66,1,SUCCESS
67,1162,0x0001,1,67,1,SUCCESS
68,1184,0x0001,1,68,1,SUCCESS
69,1232,0x0001,1,69,1,SUCCESS
70,1241,0x0001,1,70,1,SUCCESS
71,1263,0x0001,1,71,1,SUCCESS
72,1268,0x0001,1,72,1,SUCCESS
73,1294,0x0001,1,73,1,SUCCESS
74,1314,0x0001,1,74,1,SUCCESS
