block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,60,0x0000,1,0,1,SUCCESS
1,87,0x0000,1,1,1,SUCCESS
2,92,0x0000,1,2,1,SUCCESS
3,61,0x0000,1,3,1,SUCCESS
4,120,0x0000,1,4,1,SUCCESS
5,128,0x0000,1,5,1,SUCCESS
6,78,0x0000,1,6,1,SUCCESS
7,85,0x0000,1,7,1,SUCCESS
8,108,0x0000,1,8,1,SUCCESS
9,59,0x0000,1,9,1,SUCCESS
10,78,0x0000,1,10,1,SUCCESS
11,133,0x0000,1,11,1,SUCCESS
12,141,0x0000,1,12,1,SUCCESS
13,140,0x0000,1,13,1,SUCCESS
14,74,0x0000,1,14,1,SUCCESS
15,97,0x0000,1,15,1,SUCCESS
16,116,0x0000,1,16,1,SUCCESS
17,90,0x0000,1,17,1,SUCCESS
18,109,0x0000,1,18,1,SUCCESS
19,123,0x0000,1,19,1,SUCCESS
20,98,0x0000,1,20,1,SUCCESS
21,62,0x0000,1,21,1,SUCCESS
22,117,0x0000,1,22,1,SUCCESS
23,70,0x0000,1,23,1,SUCCESS
24,73,0x0000,1,24,1,SUCCESS
25,81,0x0000,1,25,1,SUCCESS
26,58,0x0000,1,26,1,SUCCESS
27,58,0x0000,1,27,1,SUCCESS
28,82,0x0000,1,28,1,SUCCESS
29,110,0x0000,1,29,1,SUCCESS
30,108,0x0000,1,30,1,SUCCESS
31,110,0x0000,1,31,1,SUCCESS
32,96,0x0000,1,32,1,SUCCESS
33,115,0x0000,1,33,1,SUCCESS
34,114,0x0000,1,34,1,SUCCESS
35,110,0x0000,1,35,1,SUCCESS
36,125,0x0000,1,36,1,SUCCESS
37,126,0x0000,1,37,1,SUCCESS
38,85,0x0000,1,38,1,SUCCESS
39,85,0x0000,1,39,1,SUCCESS
40,137,0x0000,1,40,1,SUCCESS
41,129,0x0000,1,41,1,SUCCESS
42,122,0x0000,1,42,1,SUCCESS
43,106,0x0000,1,43,1,SUCCESS
44,113,0x0000,1,44,1,SUCCESS
45,112,0x0000,1,45,1,SUCCESS
46,109,0x0000,1,46,1,SUCCESS
47,110,0x0000,1,47,1,SUCCESS
48,102,0x0000,1,48,1,SUCCESS
49,110,0x0000,1,49,1,SUCCESS
50,106,0x0000,1,50,1,SUCCESS
51,102,0x0000,1,51,1,SUCCESS
52,98,0x0000,1,52,1,SUCCESS
53,110,0x0000,1,53,1,SUCCESS
54,115,0x0000,1,54,1,SUCCESS
55,108,0x0000,1,55,1,SUCCESS
56,111,0x0000,1,56,1,SUCCESS
57,99,0x0000,1,57,1,SUCCESS
58,107,0x0000,1,58,1,SUCCESS
59,97,0x0000,1,59,1,SUCCESS
60,56,0x0000,1,60,1,SUCCESS
61,117,0x0000,1,61,1,SUCCESS
62,120,0x0000,1,62,1,SUCCESS
63,130,0x0000,1,63,1,SUCCESS
64,132,0x0000,1,64,1,SUCCESS
65,134,0x0000,1,65,1,SUCCESS
66,133,0x0000,1,66,1,SUCCESS
67,116,0x0000,1,67,1,SUCCESS
68,134,0x0000,1,68,1,SUCCESS
69,135,0x0000,1,69,1,SUCCESS
70,124,0x0000,1,70,1,SUCCESS
71,124,0x0000,1,71,1,SUCCESS
72,104,0x0000,1,72,1,SUCCESS
73,127,0x0000,1,73,1,SUCCESS
74,123,0x0000,1,74,1,SUCCESS
75,122,0x0000,1,75,1,SUCCESS
76,118,0x0000,1,76,1,SUCCESS
77,110,0x0000,1,77,1,SUCCESS
78,108,0x0000,1,78,1,SUCCESS
79,93,0x0000,1,79,1,SUCCESS
80,103,0x0000,1,80,1,SUCCESS
81,65,0x0000,1,81,1,SUCCESS
82,91,0x0000,1,82,1,SUCCESS
83,80,0x0000,1,83,1,SUCCESS
84,63,0x0000,1,84,1,SUCCESS
85,58,0x0000,1,85,1,SUCCESS
86,77,0x0000,1,86,1,SUCCESS
87,54,0x0000,1,87,1,SUCCESS
88,98,0x0000,1,88,1,SUCCESS
89,84,0x0000,1,89,1,SUCCESS
90,116,0x0000,1,90,1,SUCCESS
91,118,0x0000,1,91,1,SUCCESS
92,107,0x0000,1,92,1,SUCCESS
93,116,0x0000,1,93,1,SUCCESS
94,117,0x0000,1,94,1,SUCCESS
95,117,0x0000,1,95,1,SUCCESS
96,114,0x0000,1,96,1,SUCCESS
97,108,0x0000,1,97,1,SUCCESS
98,98,0x0000,1,98,1,SUCCESS
99,89,0x0000,1,99,1,SUCCESS
100,117,0x0000,1,100,1,SUCCESS
101,67,0x0000,1,101,1,SUCCESS
102,108,0x0000,1,102,1,SUCCESS
103,114,0x0000,1,103,1,SUCCESS
104,107,0x0000,1,104,1,SUCCESS
105,113,0x0000,1,105,1,SUCCESS
106,109,0x0000,1,106,1,SUCCESS
107,106,0x0000,1,107,1,SUCCESS
108,107,0x0000,1,108,1,SUCCESS
109,107,0x0000,1,109,1,SUCCESS
110,101,0x0000,1,110,1,SUCCESS
111,92,0x0000,1,111,1,SUCCESS
112,68,0x0000,1,112,1,SUCCESS
113,62,0x0000,1,113,1,SUCCESS
114,77,0x0000,1,114,1,SUCCESS
115,125,0x0000,1,115,1,SUCCESS
116,124,0x0000,1,116,1,SUCCESS
117,100,0x0000,1,117,1,SUCCESS
118,105,0x0000,1,118,1,SUCCESS
119,84,0x0000,1,119,1,SUCCESS
120,72,0x0000,1,120,1,SUCCESS
121,89,0x0000,1,121,1,SUCCESS
122,79,0x0000,1,122,1,SUCCESS
123,75,0x0000,1,123,1,SUCCESS
124,84,0x0000,1,124,1,SUCCESS
125,92,0x0000,1,125,1,SUCCESS
126,76,0x0000,1,126,1,SUCCESS
127,67,0x0000,1,127,1,SUCCESS
128,67,0x0000,1,128,1,SUCCESS
129,75,0x0000,1,129,1,SUCCESS
130,71,0x0000,1,130,1,SUCCESS
131,82,0x0000,1,131,1,SUCCESS
132,76,0x0000,1,132,1,SUCCESS
