block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,162,0x0000,1,0,1,SUCCESS
1,161,0x0000,1,1,1,SUCCESS
2,171,0x0000,1,2,1,SUCCESS
3,219,0x0000,1,3,1,SUCCESS
4,139,0x0000,1,4,1,SUCCESS
5,154,0x0000,1,5,1,SUCCESS
6,152,0x0000,1,6,1,SUCCESS
7,133,0x0000,1,7,1,SUCCESS
8,149,0x0000,1,8,1,SUCCESS
9,137,0x0000,1,9,1,SUCCESS
10,129,0x0000,1,10,1,SUCCESS
11,138,0x0000,1,11,1,SUCCESS
12,130,0x0000,1,12,1,SUCCESS
13,133,0x0000,1,13,1,SUCCESS
14,132,0x0000,1,14,1,SUCCESS
15,134,0x0000,1,15,1,SUCCESS
16,134,0x0000,1,16,1,SUCCESS
17,126,0x0000,1,17,1,SUCCESS
18,131,0x0000,1,18,1,SUCCESS
19,167,0x0000,1,19,1,SUCCESS
20,147,0x0000,1,20,1,SUCCESS
21,139,0x0000,1,21,1,SUCCESS
22,145,0x0000,1,22,1,SUCCESS
23,160,0x0000,1,23,1,SUCCESS
24,154,0x0000,1,24,1,SUCCESS
25,139,0x0000,1,25,1,SUCCESS
26,135,0x0000,1,26,1,SUCCESS
27,116,0x0000,1,27,1,SUCCESS
28,134,0x0000,1,28,1,SUCCESS
29,173,0x0000,1,29,1,SUCCESS
30,164,0x0000,1,30,1,SUCCESS
31,145,0x0000,1,31,1,SUCCESS
32,146,0x0000,1,32,1,SUCCESS
33,150,0x0000,1,33,1,SUCCESS
34,138,0x0000,1,34,1,SUCCESS
35,149,0x0000,1,35,1,SUCCESS
36,150,0x0000,1,36,1,SUCCESS
37,163,0x0000,1,37,1,SUCCESS
38,237,0x0000,1,38,1,SUCCESS
39,154,0x0000,1,39,1,SUCCESS
40,149,0x0000,1,40,1,SUCCESS
41,149,0x0000,1,41,1,SUCCESS
42,115,0x0000,1,42,1,SUCCESS
43,148,0x0000,1,43,1,SUCCESS
44,158,0x0000,1,44,1,SUCCESS
45,156,0x0000,1,45,1,SUCCESS
46,152,0x0000,1,46,1,SUCCESS
47,155,0x0000,1,47,1,SUCCESS
48,147,0x0000,1,48,1,SUCCESS
49,144,0x0000,1,49,1,SUCCESS
50,143,0x0000,1,50,1,SUCCESS
51,142,0x0000,1,51,1,SUCCESS
52,147,0x0000,1,52,1,SUCCESS
53,147,0x0000,1,53,1,SUCCESS
54,146,0x0000,1,54,1,SUCCESS
55,142,0x0000,1,55,1,SUCCESS
56,142,0x0000,1,56,1,SUCCESS
57,145,0x0000,1,57,1,SUCCESS
58,145,0x0000,1,58,1,SUCCESS
59,151,0x0000,1,59,1,SUCCESS
60,148,0x0000,1,60,1,SUCCESS
61,157,0x0000,1,61,1,SUCCESS
62,159,0x0000,1,62,1,SUCCESS
63,139,0x0000,1,63,1,SUCCESS
64,128,0x0000,1,64,1,SUCCESS
65,120,0x0000,1,65,1,SUCCESS
66,107,0x0000,1,66,1,SUCCESS
67,135,0x0000,1,67,1,SUCCESS
68,127,0x0000,1,68,1,SUCCESS
69,141,0x0000,1,69,1,SUCCESS
70,135,0x0000,1,70,1,SUCCESS
71,160,0x0000,1,71,1,SUCCESS
72,149,0x0000,1,72,1,SUCCESS
73,162,0x0000,1,73,1,SUCCESS
74,154,0x0000,1,74,1,SUCCESS
75,144,0x0000,1,75,1,SUCCESS
76,146,0x0000,1,76,1,SUCCESS
77,132,0x0000,1,77,1,SUCCESS
78,137,0x0000,1,78,1,SUCCESS
79,126,0x0000,1,79,1,SUCCESS
80,137,0x0000,1,80,1,SUCCESS
81,139,0x0000,1,81,1,SUCCESS
82,143,0x0000,1,82,1,SUCCESS
83,144,0x0000,1,83,1,SUCCESS
84,139,0x0000,1,84,1,SUCCESS
85,143,0x0000,1,85,1,SUCCESS
86,144,0x0000,1,86,1,SUCCESS
87,140,0x0000,1,87,1,SUCCESS
88,137,0x0000,1,88,1,SUCCESS
89,145,0x0000,1,89,1,SUCCESS
90,141,0x0000,1,90,1,SUCCESS
91,141,0x0000,1,91,1,SUCCESS
92,143,0x0000,1,92,1,SUCCESS
93,141,0x0000,1,93,1,SUCCESS
94,144,0x0000,1,94,1,SUCCESS
95,141,0x0000,1,95,1,SUCCESS
96,144,0x0000,1,96,1,SUCCESS
97,141,0x0000,1,97,1,SUCCESS
98,139,0x0000,1,98,1,SUCCESS
99,143,0x0000,1,99,1,SUCCESS
100,136,0x0000,1,100,1,SUCCESS
101,141,0x0000,1,101,1,SUCCESS
102,145,0x0000,1,102,1,SUCCESS
103,144,0x0000,1,103,1,SUCCESS
104,141,0x0000,1,104,1,SUCCESS
105,145,0x0000,1,105,1,SUCCESS
106,146,0x0000,1,106,1,SUCCESS
107,144,0x0000,1,107,1,SUCCESS
108,148,0x0000,1,108,1,SUCCESS
109,143,0x0000,1,109,1,SUCCESS
110,141,0x0000,1,110,1,SUCCESS
111,147,0x0000,1,111,1,SUCCESS
112,142,0x0000,1,112,1,SUCCESS
113,143,0x0000,1,113,1,SUCCESS
114,145,0x0000,1,114,1,SUCCESS
115,142,0x0000,1,115,1,SUCCESS
116,141,0x0000,1,116,1,SUCCESS
117,143,0x0000,1,117,1,SUCCESS
118,144,0x0000,1,118,1,SUCCESS
119,146,0x0000,1,119,1,SUCCESS
120,142,0x0000,1,120,1,SUCCESS
121,143,0x0000,1,121,1,SUCCESS
122,146,0x0000,1,122,1,SUCCESS
123,147,0x0000,1,123,1,SUCCESS
124,143,0x0000,1,124,1,SUCCESS
125,143,0x0000,1,125,1,SUCCESS
126,144,0x0000,1,126,1,SUCCESS
127,145,0x0000,1,127,1,SUCCESS
128,144,0x0000,1,128,1,SUCCESS
129,147,0x0000,1,129,1,SUCCESS
130,146,0x0000,1,130,1,SUCCESS
131,143,0x0000,1,131,1,SUCCESS
132,144,0x0000,1,132,1,SUCCESS
133,145,0x0000,1,133,1,SUCCESS
134,145,0x0000,1,134,1,SUCCESS
135,144,0x0000,1,135,1,SUCCESS
136,146,0x0000,1,136,1,SUCCESS
137,147,0x0000,1,137,1,SUCCESS
138,152,0x0000,1,138,1,SUCCESS
139,171,0x0000,1,139,1,SUCCESS
140,180,0x0000,1,140,1,SUCCESS
141,176,0x0000,1,141,1,SUCCESS
142,175,0x0000,1,142,1,SUCCESS
143,168,0x0000,1,143,1,SUCCESS
144,173,0x0000,1,144,1,SUCCESS
145,170,0x0000,1,145,1,SUCCESS
146,170,0x0000,1,146,1,SUCCESS
147,173,0x0000,1,147,1,SUCCESS
148,170,0x0000,1,148,1,SUCCESS
149,170,0x0000,1,149,1,SUCCESS
150,173,0x0000,1,150,1,SUCCESS
151,172,0x0000,1,151,1,SUCCESS
152,172,0x0000,1,152,1,SUCCESS
153,160,0x0000,1,153,1,SUCCESS
154,133,0x0000,1,154,1,SUCCESS
155,136,0x0000,1,155,1,SUCCESS
156,150,0x0000,1,156,1,SUCCESS
157,133,0x0000,1,157,1,SUCCESS
158,132,0x0000,1,158,1,SUCCESS
159,130,0x0000,1,159,1,SUCCESS
160,133,0x0000,1,160,1,SUCCESS
161,126,0x0000,1,161,1,SUCCESS
162,127,0x0000,1,162,1,SUCCESS
163,131,0x0000,1,163,1,SUCCESS
