block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,,0x0001,1,0,1,RX_TIMEOUT
1,,0x0001,1,1,1,RX_TIMEOUT
2,,0x0001,1,2,1,RX_TIMEOUT
3,,0x0001,1,3,1,RX_TIMEOUT
4,,0x0001,1,4,1,RX_TIMEOUT
5,,0x0001,1,5,1,RX_TIMEOUT
6,,0x0001,1,6,1,RX_TIMEOUT
7,,0x0001,1,7,1,RX_TIMEOUT
8,,0x0001,1,8,1,RX_TIMEOUT
9,,0x0001,1,9,1,RX_TIMEOUT
10,,0x0001,1,10,1,RX_TIMEOUT
11,,0x0001,1,11,1,RX_TIMEOUT
12,,0x0001,1,12,1,RX_TIMEOUT
13,,0x0001,1,13,1,RX_TIMEOUT
14,,0x0001,1,14,1,RX_TIMEOUT
15,,0x0001,1,15,1,RX_TIMEOUT
16,,0x0001,1,16,1,RX_TIMEOUT
17,,0x0001,1,17,1,RX_TIMEOUT
18,,0x0001,1,18,1,RX_TIMEOUT
19,,0x0001,1,19,1,RX_TIMEOUT
20,48,0x0001,1,20,1,SUCCESS
21,34,0x0001,1,21,1,SUCCESS
22,57,0x0001,1,22,1,SUCCESS
23,63,0x0001,1,23,1,SUCCESS
24,49,0x0001,1,24,1,SUCCESS
25,64,0x0001,1,25,1,SUCCESS
26,73,0x0001,1,26,1,SUCCESS
27,48,0x0001,1,27,1,SUCCESS
28,73,0x0001,1,28,1,SUCCESS
29,126,0x0001,1,29,1,SUCCESS
30,105,0x0001,1,30,1,SUCCESS
31,39,0x0001,1,31,1,SUCCESS
32,101,0x0001,1,32,1,SUCCESS
33,55,0x0001,1,33,1,SUCCESS
34,61,0x0001,1,34,1,SUCCESS
35,77,0x0001,1,35,1,SUCCESS
36,106,0x0001,1,36,1,SUCCESS
37,107,0x0001,1,37,1,SUCCESS
38,113,0x0001,1,38,1,SUCCESS
39,92,0x0001,1,39,1,SUCCESS
40,112,0x0001,1,40,1,SUCCESS
41,112,0x0001,1,41,1,SUCCESS
42,137,0x0001,1,42,1,SUCCESS
43,124,0x0001,1,43,1,SUCCESS
44,165,0x0001,1,44,1,SUCCESS
45,186,0x0001,1,45,1,SUCCESS
46,170,0x0001,1,46,1,SUCCESS
47,159,0x0001,1,47,1,SUCCESS
48,152,0x0001,1,48,1,SUCCESS
49,176,0x0001,1,49,1,SUCCESS
50,160,0x0001,1,50,1,SUCCESS
51,171,0x0001,1,51,1,SUCCESS
52,171,0x0001,1,52,1,SUCCESS
53,170,0x0001,1,53,1,SUCCESS
54,190,0x0001,1,54,1,SUCCESS
55,152,0x0001,1,55,1,SUCCESS
56,139,0x0001,1,56,1,SUCCESS
57,156,0x0001,1,57,1,SUCCESS
58,170,0x0001,1,58,1,SUCCESS
59,142,0x0001,1,59,1,SUCCESS
60,133,0x0001,1,60,1,SUCCESS
61,118,0x0001,1,61,1,SUCCESS
62,103,0x0001,1,62,1,SUCCESS
63,137,0x0001,1,63,1,SUCCESS
64,93,0x0001,1,64,1,SUCCESS
65,173,0x0001,1,65,1,SUCCESS
66,123,0x0001,1,66,1,SUCCESS
67,138,0x0001,1,67,1,SUCCESS
68,148,0x0001,1,68,1,SUCCESS
69,174,0x0001,1,69,1,SUCCESS
70,181,0x0001,1,70,1,SUCCESS
71,201,0x0001,1,71,1,SUCCESS
72,220,0x0001,1,72,1,SUCCESS
73,240,0x0001,1,73,1,SUCCESS
74,262,0x0001,1,74,1,SUCCESS
75,278,0x0001,1,75,1,SUCCESS
76,304,0x0001,1,76,1,SUCCESS
77,326,0x0001,1,77,1,SUCCESS
78,349,0x0001,1,78,1,SUCCESS
79,368,0x0001,1,79,1,SUCCESS
80,,0x0001,1,80,1,RX_TIMEOUT
81,408,0x0001,1,81,1,SUCCESS
82,434,0x0001,1,82,1,SUCCESS
83,465,0x0001,1,83,1,SUCCESS
84,,0x0001,1,84,1,RX_TIMEOUT
85,496,0x0001,1,85,1,SUCCESS
86,515,0x0001,1,86,1,SUCCESS
87,522,0x0001,1,87,1,SUCCESS
88,,0x0001,1,88,1,RX_TIMEOUT
89,573,0x0001,1,89,1,SUCCESS
90,,0x0001,1,90,1,RX_TIMEOUT
91,602,0x0001,1,91,1,SUCCESS
92,621,0x0001,1,92,1,SUCCESS
93,637,0x0001,1,93,1,SUCCESS
94,666,0x0001,1,94,1,SUCCESS
95,682,0x0001,1,95,1,SUCCESS
96,705,0x0001,1,96,1,SUCCESS
97,716,0x0001,1,97,1,SUCCESS
98,729,0x0001,1,98,1,SUCCESS
99,743,0x0001,1,99,1,SUCCESS
100,781,0x0001,1,100,1,SUCCESS
101,792,0x0001,1,101,1,SUCCESS
102,805,0x0001,1,102,1,SUCCESS
103,831,0x0001,1,103,1,SUCCESS
104,845,0x0001,1,104,1,SUCCESS
105,864,0x0001,1,105,1,SUCCESS
106,,0x0001,1,106,1,RX_TIMEOUT
107,876,0x0001,1,107,1,SUCCESS
108,885,0x0001,1,108,1,SUCCESS
109,928,0x0001,1,109,1,SUCCESS
110,955,0x0001,1,110,1,SUCCESS
111,967,0x0001,1,111,1,SUCCESS
112,985,0x0001,1,112,1,SUCCESS
113,1001,0x0001,1,113,1,SUCCESS
114,1025,0x0001,1,114,1,SUCCESS
115,1036,0x0001,1,115,1,SUCCESS
116,1057,0x0001,1,116,1,SUCCESS
117,1070,0x0001,1,117,1,SUCCESS
118,1083,0x0001,1,118,1,SUCCESS
