block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,72,0x0001,1,0,1,SUCCESS
1,80,0x0001,1,1,1,SUCCESS
2,91,0x0001,1,2,1,SUCCESS
3,61,0x0001,1,3,1,SUCCESS
4,77,0x0001,1,4,1,SUCCESS
5,69,0x0001,1,5,1,SUCCESS
6,52,0x0001,1,6,1,SUCCESS
7,41,0x0001,1,7,1,SUCCESS
8,45,0x0001,1,8,1,SUCCESS
9,59,0x0001,1,9,1,SUCCESS
10,51,0x0001,1,10,1,SUCCESS
11,46,0x0001,1,11,1,SUCCESS
12,43,0x0001,1,12,1,SUCCESS
13,68,0x0001,1,13,1,SUCCESS
14,103,0x0001,1,14,1,SUCCESS
15,127,0x0001,1,15,1,SUCCESS
16,144,0x0001,1,16,1,SUCCESS
17,201,0x0001,1,17,1,SUCCESS
18,219,0x0001,1,18,1,SUCCESS
19,365,0x0001,1,19,1,SUCCESS
20,341,0x0001,1,20,1,SUCCESS
21,310,0x0001,1,21,1,SUCCESS
22,259,0x0001,1,22,1,SUCCESS
23,258,0x0001,1,23,1,SUCCESS
24,292,0x0001,1,24,1,SUCCESS
25,340,0x0001,1,25,1,SUCCESS
26,466,0x0001,1,26,1,SUCCESS
27,360,0x0001,1,27,1,SUCCESS
28,479,0x0001,1,28,1,SUCCESS
29,387,0x0001,1,29,1,SUCCESS
30,422,0x0001,1,30,1,SUCCESS
31,432,0x0001,1,31,1,SUCCESS
32,433,0x0001,1,32,1,SUCCESS
33,446,0x0001,1,33,1,SUCCESS
34,472,0x0001,1,34,1,SUCCESS
35,478,0x0001,1,35,1,SUCCESS
36,504,0x0001,1,36,1,SUCCESS
37,511,0x0001,1,37,1,SUCCESS
38,555,0x0001,1,38,1,SUCCESS
39,560,0x0001,1,39,1,SUCCESS
40,593,0x0001,1,40,1,SUCCESS
41,606,0x0001,1,41,1,SUCCESS
42,619,0x0001,1,42,1,SUCCESS
43,643,0x0001,1,43,1,SUCCESS
44,701,0x0001,1,44,1,SUCCESS
45,709,0x0001,1,45,1,SUCCESS
46,753,0x0001,1,46,1,SUCCESS
47,796,0x0001,1,47,1,SUCCESS
48,839,0x0001,1,48,1,SUCCESS
49,892,0x0001,1,49,1,SUCCESS
50,915,0x0001,1,50,1,SUCCESS
51,947,0x0001,1,51,1,SUCCESS
52,972,0x0001,1,52,1,SUCCESS
53,995,0x0001,1,53,1,SUCCESS
54,1027,0x0001,1,54,1,SUCCESS
55,1061,0x0001,1,55,1,SUCCESS
56,1083,0x0001,1,56,1,SUCCESS
57,1099,0x0001,1,57,1,SUCCESS
58,1121,0x0001,1,58,1,SUCCESS
59,1181,0x0001,1,59,1,SUCCESS
60,1171,0x0001,1,60,1,SUCCESS
61,1222,0x0001,1,61,1,SUCCESS
62,1251,0x0001,1,62,1,SUCCESS
63,1273,0x0001,1,63,1,SUCCESS
64,1286,0x0001,1,64,1,SUCCESS
65,1307,0x0001,1,65,1,SUCCESS
66,1322,0x0001,1,66,1,SUCCESS
67,1341,0x0001,1,67,1,SUCCESS
68,1361,0x0001,1,68,1,SUCCESS
69,1391,0x0001,1,69,1,SUCCESS
70,1421,0x0001,1,70,1,SUCCESS
71,1436,0x0001,1,71,1,SUCCESS
72,1459,0x0001,1,72,1,SUCCESS
73,1482,0x0001,1,73,1,SUCCESS
