Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,676,424,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,670,424,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,713,423,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,742,421,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,561,425,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,576,420,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,572,418,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,551,422,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,602,426,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,555,423,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,593,422,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,564,420,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,567,424,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,579,421,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,578,419,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,597,423,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,569,426,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,590,419,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,564,424,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,600,420,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,560,426,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,564,421,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
