Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,703,458,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,689,459,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,685,465,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,689,468,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,709,463,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,482,466,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,-147,467,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,-126,467,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,-131,465,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,-135,463,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,-99,465,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,-125,464,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,-108,468,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,-113,464,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,-95,469,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,-107,464,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,-122,467,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,-96,463,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,-108,463,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,-126,459,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,-123,460,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,-117,471,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,-131,466,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,-61,457,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,-108,460,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,-101,463,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,-117,461,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,-126,462,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,-140,464,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,-105,462,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,-134,467,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,-116,463,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,-126,464,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,-108,465,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,-111,467,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,-132,463,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,-111,458,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,-98,467,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,-71,461,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,-58,463,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,-126,463,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,-137,467,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,-108,466,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,-113,460,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
